"OID","Country or Area","Year","Description","Magnitude","Value"
"22346L..ZK...","BRAZIL","2001","LOANS","REAIS","5776340000"
"22346C..ZK...","BRAZIL","2001","LIABILITIES TO NONRESIDENTS","REAIS","4073070000"
"22346D..ZK...","BRAZIL","2001","LIABILITIES TO CENTRAL GOVERNMENT","REAIS","76202000"
"22346R..ZK...","BRAZIL","2001","INSURANCE TECHNICAL RESERVES","REAIS","0"
"22346C..ZF...","BRAZIL","2001","FOREIGN LIABILITIES","REAIS","4073070000"
"22346M..ZK...","BRAZIL","2001","FINANCIAL DERIVATIVES","REAIS","0"
"22346B..ZK...","BRAZIL","2001","DEPOSITS","REAIS","28236000"
"22346H..ZF...","BRAZIL","2001","CREDIT FROM OTHER DEPOSITORY CORPORA","REAIS","11925900000"
"22346G..ZF...","BRAZIL","2001","CREDIT FROM MONETARY AUTHORITIES","REAIS","97670000"
"22346D..ZF...","BRAZIL","2001","CENTRAL GOVERNMENT DEPOSITS","REAIS","76202000"
"22346B..ZF...","BRAZIL","2000","RESTRICTED DEPOSITS","REAIS","33352000"
"22346C..ZF...","BRAZIL","2000","FOREIGN LIABILITIES","REAIS","4862210000"
"22346H..ZF...","BRAZIL","2000","CREDIT FROM OTHER DEPOSITORY CORPORA","REAIS","11327400000"
"22346G..ZF...","BRAZIL","2000","CREDIT FROM MONETARY AUTHORITIES","REAIS","0"
"22346D..ZF...","BRAZIL","2000","CENTRAL GOVERNMENT DEPOSITS","REAIS","4018000"
"22346B..ZF...","BRAZIL","1999","RESTRICTED DEPOSITS","REAIS","31672000"
"22346C..ZF...","BRAZIL","1999","FOREIGN LIABILITIES","REAIS","5114540000"
"22346H..ZF...","BRAZIL","1999","CREDIT FROM OTHER DEPOSITORY CORPORA","REAIS","13137000000"
"22346G..ZF...","BRAZIL","1999","CREDIT FROM MONETARY AUTHORITIES","REAIS","0"
"22346D..ZF...","BRAZIL","1999","CENTRAL GOVERNMENT DEPOSITS","REAIS","3985000"
"22346B..ZF...","BRAZIL","1998","RESTRICTED DEPOSITS","REAIS","0"
"22346C..ZF...","BRAZIL","1998","FOREIGN LIABILITIES","REAIS","4223830000"
"22346H..ZF...","BRAZIL","1998","CREDIT FROM OTHER DEPOSITORY CORPORA","REAIS","21348600000"
"22346G..ZF...","BRAZIL","1998","CREDIT FROM MONETARY AUTHORITIES","REAIS","0"
"22346D..ZF...","BRAZIL","1998","CENTRAL GOVERNMENT DEPOSITS","REAIS","2601000"
"22346B..ZF...","BRAZIL","1997","RESTRICTED DEPOSITS","REAIS","0"
"22346C..ZF...","BRAZIL","1997","FOREIGN LIABILITIES","REAIS","3728000000"
"22346H..ZF...","BRAZIL","1997","CREDIT FROM OTHER DEPOSITORY CORPORA","REAIS","12400000000"
"22346G..ZF...","BRAZIL","1997","CREDIT FROM MONETARY AUTHORITIES","REAIS","0"
"22346D..ZF...","BRAZIL","1997","CENTRAL GOVERNMENT DEPOSITS","REAIS","1000000"
"22346B..ZF...","BRAZIL","1996","RESTRICTED DEPOSITS","REAIS","0"
"22346C..ZF...","BRAZIL","1996","FOREIGN LIABILITIES","REAIS","2994000000"
"22346H..ZF...","BRAZIL","1996","CREDIT FROM OTHER DEPOSITORY CORPORA","REAIS","9152000000"
"22346G..ZF...","BRAZIL","1996","CREDIT FROM MONETARY AUTHORITIES","REAIS","0"
"22346D..ZF...","BRAZIL","1996","CENTRAL GOVERNMENT DEPOSITS","REAIS","1000000"
"22346B..ZF...","BRAZIL","1995","RESTRICTED DEPOSITS","REAIS","0"
"22346C..ZF...","BRAZIL","1995","FOREIGN LIABILITIES","REAIS","2293000000"
"22346H..ZF...","BRAZIL","1995","CREDIT FROM OTHER DEPOSITORY CORPORA","REAIS","5520000000"
"22346G..ZF...","BRAZIL","1995","CREDIT FROM MONETARY AUTHORITIES","REAIS","0"
"22346D..ZF...","BRAZIL","1995","CENTRAL GOVERNMENT DEPOSITS","REAIS","0"
"22346B..ZF...","BRAZIL","1994","RESTRICTED DEPOSITS","REAIS","0"
"22346C..ZF...","BRAZIL","1994","FOREIGN LIABILITIES","REAIS","1529000000"
"22346H..ZF...","BRAZIL","1994","CREDIT FROM OTHER DEPOSITORY CORPORA","REAIS","2605000000"
"22346G..ZF...","BRAZIL","1994","CREDIT FROM MONETARY AUTHORITIES","REAIS","0"
"22346D..ZF...","BRAZIL","1994","CENTRAL GOVERNMENT DEPOSITS","REAIS","0"
"22346B..ZF...","BRAZIL","1993","RESTRICTED DEPOSITS","REAIS","9454.55"
"22346C..ZF...","BRAZIL","1993","FOREIGN LIABILITIES","REAIS","170239000"
"22346H..ZF...","BRAZIL","1993","CREDIT FROM OTHER DEPOSITORY CORPORA","REAIS","241997000"
"22346G..ZF...","BRAZIL","1993","CREDIT FROM MONETARY AUTHORITIES","REAIS","0"
"22346D..ZF...","BRAZIL","1993","CENTRAL GOVERNMENT DEPOSITS","REAIS","76000"
"22346B..ZF...","BRAZIL","1992","RESTRICTED DEPOSITS","REAIS","8000"
"22346C..ZF...","BRAZIL","1992","FOREIGN LIABILITIES","REAIS","4756730"
"22346H..ZF...","BRAZIL","1992","CREDIT FROM OTHER DEPOSITORY CORPORA","REAIS","6751270"
"22346G..ZF...","BRAZIL","1992","CREDIT FROM MONETARY AUTHORITIES","REAIS","0"
"22346D..ZF...","BRAZIL","1992","CENTRAL GOVERNMENT DEPOSITS","REAIS","4727.27"
"22346B..ZF...","BRAZIL","1991","RESTRICTED DEPOSITS","REAIS","14545.5"
"22346C..ZF...","BRAZIL","1991","FOREIGN LIABILITIES","REAIS","315273"
"22346H..ZF...","BRAZIL","1991","CREDIT FROM OTHER DEPOSITORY CORPORA","REAIS","330909"
"22346G..ZF...","BRAZIL","1991","CREDIT FROM MONETARY AUTHORITIES","REAIS","0"
"22346D..ZF...","BRAZIL","1991","CENTRAL GOVERNMENT DEPOSITS","REAIS","363.636"
"22346B..ZF...","BRAZIL","1990","RESTRICTED DEPOSITS","REAIS","6150.18"
"22346C..ZF...","BRAZIL","1990","FOREIGN LIABILITIES","REAIS","34036.7"
"22346H..ZF...","BRAZIL","1990","CREDIT FROM OTHER DEPOSITORY CORPORA","REAIS","20794.2"
"22346G..ZF...","BRAZIL","1990","CREDIT FROM MONETARY AUTHORITIES","REAIS","0"
"22346D..ZF...","BRAZIL","1990","CENTRAL GOVERNMENT DEPOSITS","REAIS","205.455"
"22346B..ZF...","BRAZIL","1989","RESTRICTED DEPOSITS","REAIS","0"
"22346C..ZF...","BRAZIL","1989","FOREIGN LIABILITIES","REAIS","2396.73"
"22346H..ZF...","BRAZIL","1989","CREDIT FROM OTHER DEPOSITORY CORPORA","REAIS","2525.45"
"22346G..ZF...","BRAZIL","1989","CREDIT FROM MONETARY AUTHORITIES","REAIS","0"
"22346D..ZF...","BRAZIL","1989","CENTRAL GOVERNMENT DEPOSITS","REAIS","0"
"22346B..ZF...","BRAZIL","1988","RESTRICTED DEPOSITS","REAIS","0"
"22346C..ZF...","BRAZIL","1988","FOREIGN LIABILITIES","REAIS","129.818"
"22346H..ZF...","BRAZIL","1988","CREDIT FROM OTHER DEPOSITORY CORPORA","REAIS","194.909"
"22346G..ZF...","BRAZIL","1988","CREDIT FROM MONETARY AUTHORITIES","REAIS","0"
"22346D..ZF...","BRAZIL","1988","CENTRAL GOVERNMENT DEPOSITS","REAIS","0"
"51646S..ZK...","BRUNEI DARUSSALAM","2009","SECURITIES OTHER THAN SHARES","BRUNEI DOLLARS","0"
"51646L..ZK...","BRUNEI DARUSSALAM","2009","LOANS","BRUNEI DOLLARS","72361600"
"51646C..ZK...","BRUNEI DARUSSALAM","2009","LIABILITIES TO NONRESIDENTS","BRUNEI DOLLARS","11687800"
"51646D..ZK...","BRUNEI DARUSSALAM","2009","LIABILITIES TO CENTRAL GOVERNMENT","BRUNEI DOLLARS","4340960"
"51646R..ZK...","BRUNEI DARUSSALAM","2009","INSURANCE TECHNICAL RESERVES","BRUNEI DOLLARS","594382000"
"51646M..ZK...","BRUNEI DARUSSALAM","2009","FINANCIAL DERIVATIVES","BRUNEI DOLLARS","0"
"51646B..ZK...","BRUNEI DARUSSALAM","2009","DEPOSITS","BRUNEI DOLLARS","6455110"
"51646S..ZK...","BRUNEI DARUSSALAM","2008","SECURITIES OTHER THAN SHARES","BRUNEI DOLLARS","0"
"51646L..ZK...","BRUNEI DARUSSALAM","2008","LOANS","BRUNEI DOLLARS","72361600"
"51646C..ZK...","BRUNEI DARUSSALAM","2008","LIABILITIES TO NONRESIDENTS","BRUNEI DOLLARS","117532000"
"51646D..ZK...","BRUNEI DARUSSALAM","2008","LIABILITIES TO CENTRAL GOVERNMENT","BRUNEI DOLLARS","1193980"
"51646R..ZK...","BRUNEI DARUSSALAM","2008","INSURANCE TECHNICAL RESERVES","BRUNEI DOLLARS","584505000"
"51646M..ZK...","BRUNEI DARUSSALAM","2008","FINANCIAL DERIVATIVES","BRUNEI DOLLARS","0"
"51646B..ZK...","BRUNEI DARUSSALAM","2008","DEPOSITS","BRUNEI DOLLARS","6519940"
"51646S..ZK...","BRUNEI DARUSSALAM","2007","SECURITIES OTHER THAN SHARES","BRUNEI DOLLARS","0"
"51646L..ZK...","BRUNEI DARUSSALAM","2007","LOANS","BRUNEI DOLLARS","72361600"
"51646C..ZK...","BRUNEI DARUSSALAM","2007","LIABILITIES TO NONRESIDENTS","BRUNEI DOLLARS","27527500"
"51646D..ZK...","BRUNEI DARUSSALAM","2007","LIABILITIES TO CENTRAL GOVERNMENT","BRUNEI DOLLARS","1022710"
"51646R..ZK...","BRUNEI DARUSSALAM","2007","INSURANCE TECHNICAL RESERVES","BRUNEI DOLLARS","527448000"
"51646M..ZK...","BRUNEI DARUSSALAM","2007","FINANCIAL DERIVATIVES","BRUNEI DOLLARS","0"
"51646B..ZK...","BRUNEI DARUSSALAM","2007","DEPOSITS","BRUNEI DOLLARS","7070970"
"51646S..ZK...","BRUNEI DARUSSALAM","2006","SECURITIES OTHER THAN SHARES","BRUNEI DOLLARS","0"
"51646L..ZK...","BRUNEI DARUSSALAM","2006","LOANS","BRUNEI DOLLARS","72361600"
"51646C..ZK...","BRUNEI DARUSSALAM","2006","LIABILITIES TO NONRESIDENTS","BRUNEI DOLLARS","11367600"
"51646D..ZK...","BRUNEI DARUSSALAM","2006","LIABILITIES TO CENTRAL GOVERNMENT","BRUNEI DOLLARS","1246040"
"51646R..ZK...","BRUNEI DARUSSALAM","2006","INSURANCE TECHNICAL RESERVES","BRUNEI DOLLARS","510873000"
"51646M..ZK...","BRUNEI DARUSSALAM","2006","FINANCIAL DERIVATIVES","BRUNEI DOLLARS","0"
"51646B..ZK...","BRUNEI DARUSSALAM","2006","DEPOSITS","BRUNEI DOLLARS","14992600"
"61846S..ZK...","BURUNDI","2009","SECURITIES OTHER THAN SHARES","BURUNDI FRANCS","0"
"61846L..ZK...","BURUNDI","2009","LOANS","BURUNDI FRANCS","0"
"61846C..ZK...","BURUNDI","2009","LIABILITIES TO NONRESIDENTS","BURUNDI FRANCS","1764800000"
"61846D..ZK...","BURUNDI","2009","LIABILITIES TO CENTRAL GOVERNMENT","BURUNDI FRANCS","11223100000"
"61846R..ZK...","BURUNDI","2009","INSURANCE TECHNICAL RESERVES","BURUNDI FRANCS","0"
"61846M..ZK...","BURUNDI","2009","FINANCIAL DERIVATIVES","BURUNDI FRANCS","0"
"61846B..ZK...","BURUNDI","2009","DEPOSITS","BURUNDI FRANCS","9575500000"
"61846S..ZK...","BURUNDI","2008","SECURITIES OTHER THAN SHARES","BURUNDI FRANCS","0"
"61846B..ZF...","BURUNDI","2008","RESTRICTED DEPOSITS","BURUNDI FRANCS","7624500000"
"61846L..ZK...","BURUNDI","2008","LOANS","BURUNDI FRANCS","0"
"61846C..ZK...","BURUNDI","2008","LIABILITIES TO NONRESIDENTS","BURUNDI FRANCS","2073800000"
"61846D..ZK...","BURUNDI","2008","LIABILITIES TO CENTRAL GOVERNMENT","BURUNDI FRANCS","7920000000"
"61846R..ZK...","BURUNDI","2008","INSURANCE TECHNICAL RESERVES","BURUNDI FRANCS","0"
"61846C..ZF...","BURUNDI","2008","FOREIGN LIABILITIES","BURUNDI FRANCS","2073800000"
"61846M..ZK...","BURUNDI","2008","FINANCIAL DERIVATIVES","BURUNDI FRANCS","0"
"61846B..ZK...","BURUNDI","2008","DEPOSITS","BURUNDI FRANCS","7624500000"
"61846H..ZF...","BURUNDI","2008","CREDIT FROM OTHER DEPOSITORY CORPORA","BURUNDI FRANCS","0"
"61846G..ZF...","BURUNDI","2008","CREDIT FROM MONETARY AUTHORITIES","BURUNDI FRANCS","0"
"61846D..ZF...","BURUNDI","2008","CENTRAL GOVERNMENT DEPOSITS","BURUNDI FRANCS","7920000000"
"61846S..ZK...","BURUNDI","2007","SECURITIES OTHER THAN SHARES","BURUNDI FRANCS","0"
"61846B..ZF...","BURUNDI","2007","RESTRICTED DEPOSITS","BURUNDI FRANCS","5627200000"
"61846L..ZK...","BURUNDI","2007","LOANS","BURUNDI FRANCS","0"
"61846C..ZK...","BURUNDI","2007","LIABILITIES TO NONRESIDENTS","BURUNDI FRANCS","3759800000"
"61846D..ZK...","BURUNDI","2007","LIABILITIES TO CENTRAL GOVERNMENT","BURUNDI FRANCS","6394400000"
"61846R..ZK...","BURUNDI","2007","INSURANCE TECHNICAL RESERVES","BURUNDI FRANCS","0"
"61846C..ZF...","BURUNDI","2007","FOREIGN LIABILITIES","BURUNDI FRANCS","3759800000"
"61846M..ZK...","BURUNDI","2007","FINANCIAL DERIVATIVES","BURUNDI FRANCS","0"
"61846B..ZK...","BURUNDI","2007","DEPOSITS","BURUNDI FRANCS","5627200000"
"61846H..ZF...","BURUNDI","2007","CREDIT FROM OTHER DEPOSITORY CORPORA","BURUNDI FRANCS","0"
"61846G..ZF...","BURUNDI","2007","CREDIT FROM MONETARY AUTHORITIES","BURUNDI FRANCS","0"
"61846D..ZF...","BURUNDI","2007","CENTRAL GOVERNMENT DEPOSITS","BURUNDI FRANCS","6394400000"
"61846S..ZK...","BURUNDI","2006","SECURITIES OTHER THAN SHARES","BURUNDI FRANCS","0"
"61846B..ZF...","BURUNDI","2006","RESTRICTED DEPOSITS","BURUNDI FRANCS","3727200000"
"61846L..ZK...","BURUNDI","2006","LOANS","BURUNDI FRANCS","0"
"61846C..ZK...","BURUNDI","2006","LIABILITIES TO NONRESIDENTS","BURUNDI FRANCS","3056000000"
"61846D..ZK...","BURUNDI","2006","LIABILITIES TO CENTRAL GOVERNMENT","BURUNDI FRANCS","4047100000"
"61846R..ZK...","BURUNDI","2006","INSURANCE TECHNICAL RESERVES","BURUNDI FRANCS","0"
"61846C..ZF...","BURUNDI","2006","FOREIGN LIABILITIES","BURUNDI FRANCS","3056000000"
"61846M..ZK...","BURUNDI","2006","FINANCIAL DERIVATIVES","BURUNDI FRANCS","0"
"61846B..ZK...","BURUNDI","2006","DEPOSITS","BURUNDI FRANCS","3727200000"
"61846H..ZF...","BURUNDI","2006","CREDIT FROM OTHER DEPOSITORY CORPORA","BURUNDI FRANCS","0"
"61846G..ZF...","BURUNDI","2006","CREDIT FROM MONETARY AUTHORITIES","BURUNDI FRANCS","0"
"61846D..ZF...","BURUNDI","2006","CENTRAL GOVERNMENT DEPOSITS","BURUNDI FRANCS","4047100000"
"61846S..ZK...","BURUNDI","2005","SECURITIES OTHER THAN SHARES","BURUNDI FRANCS","0"
"61846B..ZF...","BURUNDI","2005","RESTRICTED DEPOSITS","BURUNDI FRANCS","1868400000"
"61846L..ZK...","BURUNDI","2005","LOANS","BURUNDI FRANCS","0"
"61846C..ZK...","BURUNDI","2005","LIABILITIES TO NONRESIDENTS","BURUNDI FRANCS","2754500000"
"61846D..ZK...","BURUNDI","2005","LIABILITIES TO CENTRAL GOVERNMENT","BURUNDI FRANCS","3283000000"
"61846R..ZK...","BURUNDI","2005","INSURANCE TECHNICAL RESERVES","BURUNDI FRANCS","0"
"61846C..ZF...","BURUNDI","2005","FOREIGN LIABILITIES","BURUNDI FRANCS","2754500000"
"61846M..ZK...","BURUNDI","2005","FINANCIAL DERIVATIVES","BURUNDI FRANCS","0"
"61846B..ZK...","BURUNDI","2005","DEPOSITS","BURUNDI FRANCS","1868400000"
"61846H..ZF...","BURUNDI","2005","CREDIT FROM OTHER DEPOSITORY CORPORA","BURUNDI FRANCS","0"
"61846G..ZF...","BURUNDI","2005","CREDIT FROM MONETARY AUTHORITIES","BURUNDI FRANCS","0"
"61846D..ZF...","BURUNDI","2005","CENTRAL GOVERNMENT DEPOSITS","BURUNDI FRANCS","3283000000"
"61846S..ZK...","BURUNDI","2004","SECURITIES OTHER THAN SHARES","BURUNDI FRANCS","0"
"61846B..ZF...","BURUNDI","2004","RESTRICTED DEPOSITS","BURUNDI FRANCS","2190500000"
"61846L..ZK...","BURUNDI","2004","LOANS","BURUNDI FRANCS","836500000"
"61846C..ZK...","BURUNDI","2004","LIABILITIES TO NONRESIDENTS","BURUNDI FRANCS","9060700000"
"61846D..ZK...","BURUNDI","2004","LIABILITIES TO CENTRAL GOVERNMENT","BURUNDI FRANCS","2078400000"
"61846R..ZK...","BURUNDI","2004","INSURANCE TECHNICAL RESERVES","BURUNDI FRANCS","0"
"61846C..ZF...","BURUNDI","2004","FOREIGN LIABILITIES","BURUNDI FRANCS","9060700000"
"61846M..ZK...","BURUNDI","2004","FINANCIAL DERIVATIVES","BURUNDI FRANCS","0"
"61846B..ZK...","BURUNDI","2004","DEPOSITS","BURUNDI FRANCS","2247100000"
"61846H..ZF...","BURUNDI","2004","CREDIT FROM OTHER DEPOSITORY CORPORA","BURUNDI FRANCS","56600000"
"61846G..ZF...","BURUNDI","2004","CREDIT FROM MONETARY AUTHORITIES","BURUNDI FRANCS","836500000"
"61846D..ZF...","BURUNDI","2004","CENTRAL GOVERNMENT DEPOSITS","BURUNDI FRANCS","2078400000"
"61846S..ZK...","BURUNDI","2003","SECURITIES OTHER THAN SHARES","BURUNDI FRANCS","0"
"61846B..ZF...","BURUNDI","2003","RESTRICTED DEPOSITS","BURUNDI FRANCS","2301800000"
"61846L..ZK...","BURUNDI","2003","LOANS","BURUNDI FRANCS","722300000"
"61846C..ZK...","BURUNDI","2003","LIABILITIES TO NONRESIDENTS","BURUNDI FRANCS","12325300000"
"61846D..ZK...","BURUNDI","2003","LIABILITIES TO CENTRAL GOVERNMENT","BURUNDI FRANCS","2437100000"
"61846R..ZK...","BURUNDI","2003","INSURANCE TECHNICAL RESERVES","BURUNDI FRANCS","0"
"61846C..ZF...","BURUNDI","2003","FOREIGN LIABILITIES","BURUNDI FRANCS","12325300000"
"61846M..ZK...","BURUNDI","2003","FINANCIAL DERIVATIVES","BURUNDI FRANCS","0"
"61846B..ZK...","BURUNDI","2003","DEPOSITS","BURUNDI FRANCS","2577700000"
"61846H..ZF...","BURUNDI","2003","CREDIT FROM OTHER DEPOSITORY CORPORA","BURUNDI FRANCS","275900000"
"61846G..ZF...","BURUNDI","2003","CREDIT FROM MONETARY AUTHORITIES","BURUNDI FRANCS","722300000"
"61846D..ZF...","BURUNDI","2003","CENTRAL GOVERNMENT DEPOSITS","BURUNDI FRANCS","2437100000"
"61846S..ZK...","BURUNDI","2002","SECURITIES OTHER THAN SHARES","BURUNDI FRANCS","0"
"61846B..ZF...","BURUNDI","2002","RESTRICTED DEPOSITS","BURUNDI FRANCS","2627500000"
"61846L..ZK...","BURUNDI","2002","LOANS","BURUNDI FRANCS","6643100000"
"61846C..ZK...","BURUNDI","2002","LIABILITIES TO NONRESIDENTS","BURUNDI FRANCS","10613800000"
"61846D..ZK...","BURUNDI","2002","LIABILITIES TO CENTRAL GOVERNMENT","BURUNDI FRANCS","3494600000"
"61846R..ZK...","BURUNDI","2002","INSURANCE TECHNICAL RESERVES","BURUNDI FRANCS","0"
"61846C..ZF...","BURUNDI","2002","FOREIGN LIABILITIES","BURUNDI FRANCS","10613800000"
"61846M..ZK...","BURUNDI","2002","FINANCIAL DERIVATIVES","BURUNDI FRANCS","0"
"61846B..ZK...","BURUNDI","2002","DEPOSITS","BURUNDI FRANCS","2717900000"
"61846H..ZF...","BURUNDI","2002","CREDIT FROM OTHER DEPOSITORY CORPORA","BURUNDI FRANCS","90400000"
"61846G..ZF...","BURUNDI","2002","CREDIT FROM MONETARY AUTHORITIES","BURUNDI FRANCS","6643100000"
"61846D..ZF...","BURUNDI","2002","CENTRAL GOVERNMENT DEPOSITS","BURUNDI FRANCS","3494600000"
"61846S..ZK...","BURUNDI","2001","SECURITIES OTHER THAN SHARES","BURUNDI FRANCS","0"
"61846B..ZF...","BURUNDI","2001","RESTRICTED DEPOSITS","BURUNDI FRANCS","2730600000"
"61846L..ZK...","BURUNDI","2001","LOANS","BURUNDI FRANCS","4454900000"
"61846C..ZK...","BURUNDI","2001","LIABILITIES TO NONRESIDENTS","BURUNDI FRANCS","7722000000"
"61846D..ZK...","BURUNDI","2001","LIABILITIES TO CENTRAL GOVERNMENT","BURUNDI FRANCS","3925900000"
"61846R..ZK...","BURUNDI","2001","INSURANCE TECHNICAL RESERVES","BURUNDI FRANCS","0"
"61846C..ZF...","BURUNDI","2001","FOREIGN LIABILITIES","BURUNDI FRANCS","7722000000"
"61846M..ZK...","BURUNDI","2001","FINANCIAL DERIVATIVES","BURUNDI FRANCS","0"
"61846B..ZK...","BURUNDI","2001","DEPOSITS","BURUNDI FRANCS","2730600000"
"61846H..ZF...","BURUNDI","2001","CREDIT FROM OTHER DEPOSITORY CORPORA","BURUNDI FRANCS","168900000"
"61846G..ZF...","BURUNDI","2001","CREDIT FROM MONETARY AUTHORITIES","BURUNDI FRANCS","4286000000"
"61846D..ZF...","BURUNDI","2001","CENTRAL GOVERNMENT DEPOSITS","BURUNDI FRANCS","3925900000"
"61846S..ZK...","BURUNDI","2000","SECURITIES OTHER THAN SHARES","BURUNDI FRANCS","0"
"61846B..ZF...","BURUNDI","2000","RESTRICTED DEPOSITS","BURUNDI FRANCS","2519300000"
"61846L..ZK...","BURUNDI","2000","LOANS","BURUNDI FRANCS","1810500000"
"61846C..ZK...","BURUNDI","2000","LIABILITIES TO NONRESIDENTS","BURUNDI FRANCS","7567000000"
"61846D..ZK...","BURUNDI","2000","LIABILITIES TO CENTRAL GOVERNMENT","BURUNDI FRANCS","3287000000"
"61846R..ZK...","BURUNDI","2000","INSURANCE TECHNICAL RESERVES","BURUNDI FRANCS","0"
"61846C..ZF...","BURUNDI","2000","FOREIGN LIABILITIES","BURUNDI FRANCS","7567000000"
"61846M..ZK...","BURUNDI","2000","FINANCIAL DERIVATIVES","BURUNDI FRANCS","0"
"61846B..ZK...","BURUNDI","2000","DEPOSITS","BURUNDI FRANCS","2520100000"
"61846H..ZF...","BURUNDI","2000","CREDIT FROM OTHER DEPOSITORY CORPORA","BURUNDI FRANCS","151000000"
"61846G..ZF...","BURUNDI","2000","CREDIT FROM MONETARY AUTHORITIES","BURUNDI FRANCS","1660300000"
"61846D..ZF...","BURUNDI","2000","CENTRAL GOVERNMENT DEPOSITS","BURUNDI FRANCS","3287000000"
"61846C..ZF...","BURUNDI","1999","FOREIGN LIABILITIES","BURUNDI FRANCS","6961800000"
"61846H..ZF...","BURUNDI","1999","CREDIT FROM OTHER DEPOSITORY CORPORA","BURUNDI FRANCS","0"
"61846G..ZF...","BURUNDI","1999","CREDIT FROM MONETARY AUTHORITIES","BURUNDI FRANCS","118000000"
"61846D..ZF...","BURUNDI","1999","CENTRAL GOVERNMENT DEPOSITS","BURUNDI FRANCS","1340000000"
"61846C..ZF...","BURUNDI","1998","FOREIGN LIABILITIES","BURUNDI FRANCS","6641000000"
"61846H..ZF...","BURUNDI","1998","CREDIT FROM OTHER DEPOSITORY CORPORA","BURUNDI FRANCS","700000"
"61846G..ZF...","BURUNDI","1998","CREDIT FROM MONETARY AUTHORITIES","BURUNDI FRANCS","622900000"
"61846D..ZF...","BURUNDI","1998","CENTRAL GOVERNMENT DEPOSITS","BURUNDI FRANCS","1370600000"
"61846C..ZF...","BURUNDI","1997","FOREIGN LIABILITIES","BURUNDI FRANCS","6057000000"
"61846H..ZF...","BURUNDI","1997","CREDIT FROM OTHER DEPOSITORY CORPORA","BURUNDI FRANCS","0"
"61846G..ZF...","BURUNDI","1997","CREDIT FROM MONETARY AUTHORITIES","BURUNDI FRANCS","0"
"61846D..ZF...","BURUNDI","1997","CENTRAL GOVERNMENT DEPOSITS","BURUNDI FRANCS","914300000"
"61846C..ZF...","BURUNDI","1996","FOREIGN LIABILITIES","BURUNDI FRANCS","5222000000"
"61846H..ZF...","BURUNDI","1996","CREDIT FROM OTHER DEPOSITORY CORPORA","BURUNDI FRANCS","375300000"
"61846G..ZF...","BURUNDI","1996","CREDIT FROM MONETARY AUTHORITIES","BURUNDI FRANCS","599000000"
"61846D..ZF...","BURUNDI","1996","CENTRAL GOVERNMENT DEPOSITS","BURUNDI FRANCS","1045100000"
"61846C..ZF...","BURUNDI","1995","FOREIGN LIABILITIES","BURUNDI FRANCS","5117000000"
"61846H..ZF...","BURUNDI","1995","CREDIT FROM OTHER DEPOSITORY CORPORA","BURUNDI FRANCS","4400000"
"61846G..ZF...","BURUNDI","1995","CREDIT FROM MONETARY AUTHORITIES","BURUNDI FRANCS","1042800000"
"61846D..ZF...","BURUNDI","1995","CENTRAL GOVERNMENT DEPOSITS","BURUNDI FRANCS","1185400000"
"61846C..ZF...","BURUNDI","1994","FOREIGN LIABILITIES","BURUNDI FRANCS","4495900000"
"61846H..ZF...","BURUNDI","1994","CREDIT FROM OTHER DEPOSITORY CORPORA","BURUNDI FRANCS","0"
"61846G..ZF...","BURUNDI","1994","CREDIT FROM MONETARY AUTHORITIES","BURUNDI FRANCS","228000000"
"61846D..ZF...","BURUNDI","1994","CENTRAL GOVERNMENT DEPOSITS","BURUNDI FRANCS","1150800000"
"61846C..ZF...","BURUNDI","1992","FOREIGN LIABILITIES","BURUNDI FRANCS","2895500000"
"61846H..ZF...","BURUNDI","1992","CREDIT FROM OTHER DEPOSITORY CORPORA","BURUNDI FRANCS","200000"
"61846G..ZF...","BURUNDI","1992","CREDIT FROM MONETARY AUTHORITIES","BURUNDI FRANCS","1346800000"
"61846D..ZF...","BURUNDI","1992","CENTRAL GOVERNMENT DEPOSITS","BURUNDI FRANCS","1213400000"
"61846C..ZF...","BURUNDI","1991","FOREIGN LIABILITIES","BURUNDI FRANCS","2422800000"
"61846H..ZF...","BURUNDI","1991","CREDIT FROM OTHER DEPOSITORY CORPORA","BURUNDI FRANCS","100000"
"61846G..ZF...","BURUNDI","1991","CREDIT FROM MONETARY AUTHORITIES","BURUNDI FRANCS","776700000"
"61846D..ZF...","BURUNDI","1991","CENTRAL GOVERNMENT DEPOSITS","BURUNDI FRANCS","1040200000"
"61846C..ZF...","BURUNDI","1990","FOREIGN LIABILITIES","BURUNDI FRANCS","1908300000"
"61846H..ZF...","BURUNDI","1990","CREDIT FROM OTHER DEPOSITORY CORPORA","BURUNDI FRANCS","587300000"
"61846G..ZF...","BURUNDI","1990","CREDIT FROM MONETARY AUTHORITIES","BURUNDI FRANCS","110200000"
"61846D..ZF...","BURUNDI","1990","CENTRAL GOVERNMENT DEPOSITS","BURUNDI FRANCS","896700000"
"61846C..ZF...","BURUNDI","1989","FOREIGN LIABILITIES","BURUNDI FRANCS","2321500000"
"61846H..ZF...","BURUNDI","1989","CREDIT FROM OTHER DEPOSITORY CORPORA","BURUNDI FRANCS","765800000"
"61846G..ZF...","BURUNDI","1989","CREDIT FROM MONETARY AUTHORITIES","BURUNDI FRANCS","293300000"
"61846D..ZF...","BURUNDI","1989","CENTRAL GOVERNMENT DEPOSITS","BURUNDI FRANCS","890900000"
